Name,Address,Category,SubCategory,Day,MAPCODE,Description,OriginalName,Order,Layer,Notes
📍琉球玻璃村,"Ryukyu Glass Village, Itoman, Okinawa, Japan",景點,體驗,南部,232 336 224*71,中文顯示名稱：📍琉球玻璃村｜原始名稱：琉球玻璃村｜MAPCODE：232 336 224*71｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：糸滿市。｜原始名稱：琉球玻璃村,琉球玻璃村,60,南部景點,圖片景點地圖：糸滿市。
🛍 道之驛糸滿,"Roadside Station Itoman, Okinawa, Japan",交通,休息站,南部,232 484 107*03,中文顯示名稱：🛍 道之驛糸滿｜原始名稱：道之驛糸滿｜MAPCODE：232 484 107*03｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部｜圖片景點地圖：糸滿市。｜原始名稱：道之驛糸滿,道之驛糸滿,61,南部景點,圖片景點地圖：糸滿市。
🌊 瀨長島,"Senaga Island, Tomigusuku, Okinawa, Japan",公園/自然,島嶼,南部,33 002 602*06,中文顯示名稱：🌊 瀨長島｜原始名稱：瀨長島｜MAPCODE：33 002 602*06｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：與瀨長島Umikaji Terrace同區域｜行程/區域：南部｜圖片景點地圖：豐見城市。｜原始名稱：瀨長島,瀨長島,62,南部景點,圖片景點地圖：豐見城市。
📍舊海軍壕,"Former Japanese Navy Underground Headquarters, Tomigusuku, Okinawa, Japan",史跡,史跡,南部,33 036 823*65,中文顯示名稱：📍舊海軍壕｜原始名稱：舊海軍司令部壕｜MAPCODE：33 036 823*65｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜提醒：另一來源（海軍壕公園主入口）給33036664~725區間，地堡入口與公園入口座標略有不同｜行程/區域：南部｜圖片景點地圖：豐見城市。｜原始名稱：舊海軍司令部壕,舊海軍司令部壕,63,南部景點,圖片景點地圖：豐見城市。
🍙 豬肉蛋飯糰,"Pork Tamago Onigiri Makishi Market, Naha, Okinawa, Japan",美食,早餐,南部/那霸國際通,33 157 323*00,中文顯示名稱：🍙 豬肉蛋飯糰｜原始名稱：豬肉蛋飯糰本店 牧志市場店｜MAPCODE：33 157 323*00｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部/那霸國際通｜推薦：炸蝦豬肉蛋飯糰。營業：每日 07:00–19:00。另有美國村、那霸機場、本部町分店。｜原始名稱：豬肉蛋飯糰本店 牧志市場店,豬肉蛋飯糰本店 牧志市場店,64,沖繩必吃美食,推薦：炸蝦豬肉蛋飯糰。營業：每日 07:00–19:00。另有美國村、那霸機場、本部町分店。
🥩 燒肉王久茂地,"Yakiniku King Naha Kumoji, Okinawa, Japan",美食,燒肉,南部/那霸國際通,33 157 752*68,中文顯示名稱：🥩 燒肉王久茂地｜原始名稱：Yakiniku King 那覇久茂地店｜MAPCODE：33 157 752*68｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部/那霸國際通｜沖繩燒肉王；和牛吃到飽。營業：平日 17:00–00:00、週末 11:00–00:00。｜原始名稱：Yakiniku King 那覇久茂地店,Yakiniku King 那覇久茂地店,65,沖繩必吃美食,沖繩燒肉王；和牛吃到飽。營業：平日 17:00–00:00、週末 11:00–00:00。
🥩 牛皇,"Naha, Kumoji, 2 Chome−13−14 ヨーロピアンビル 牛皇, Okinawa, Japan",美食,燒肉,南部/那霸國際通,,中文顯示名稱：🥩 牛皇｜原始名稱：炭火焼肉専門店 牛皇｜行程/區域：南部/那霸國際通｜高檔和牛燒肉。營業：週三至週一 17:00–01:00。｜原始名稱：炭火焼肉専門店 牛皇,炭火焼肉専門店 牛皇,66,沖繩必吃美食,高檔和牛燒肉。營業：週三至週一 17:00–01:00。
🥩 本部牧場那霸,"Motobu Farm Naha, Okinawa, Japan",美食,燒肉,南部/那霸國際通,,中文顯示名稱：🥩 本部牧場那霸｜原始名稱：燒肉本部牧場 那霸店｜行程/區域：南部/那霸國際通｜本部牛牧場直營。營業：11:30–15:00、17:00–22:00。｜原始名稱：燒肉本部牧場 那霸店,燒肉本部牧場 那霸店,67,沖繩必吃美食,本部牛牧場直營。營業：11:30–15:00、17:00–22:00。
🥩 本部牧場國際通,"Motobu Farm Kokusai Street, Naha, Okinawa, Japan",美食,燒肉,南部/那霸國際通,,中文顯示名稱：🥩 本部牧場國際通｜原始名稱：燒肉本部牧場 國際通店｜行程/區域：南部/那霸國際通｜本部牛燒肉；國際通分店。營業：每日 17:00–22:30。｜原始名稱：燒肉本部牧場 國際通店,燒肉本部牧場 國際通店,68,沖繩必吃美食,本部牛燒肉；國際通分店。營業：每日 17:00–22:30。
🥩 琉球之牛,"Ryukyu no Ushi Kokusai Street, Naha, Okinawa, Japan",美食,燒肉,南部/那霸國際通,33 157 448*25,中文顯示名稱：🥩 琉球之牛｜原始名稱：琉球之牛 國際通店｜MAPCODE：33 157 448*25｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部/那霸國際通｜琉球和牛人氣名店。營業：每日 17:00–22:30。｜原始名稱：琉球之牛 國際通店,琉球之牛 國際通店,69,沖繩必吃美食,琉球和牛人氣名店。營業：每日 17:00–22:30。
🍺 目利銀次,"Mekiki Ginji Shintoshin, 1 Chome-9-19 Ameku, Naha, Okinawa, Japan",美食,居酒屋,南部/那霸新都心,33 218 131*58,中文顯示名稱：🍺 目利銀次｜原始名稱：目利銀次 新都心店｜MAPCODE：33 218 131*58｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部/那霸新都心｜平價居酒屋。營業：平日 17:00–23:00、假日 17:00–00:00；週三公休。｜原始名稱：目利銀次 新都心店,目利銀次 新都心店,70,沖繩必吃美食,平價居酒屋。營業：平日 17:00–23:00、假日 17:00–00:00；週三公休。
🍜 暖暮拉麵,"Danbo Ramen Makishi, Naha, Okinawa, Japan",美食,拉麵,南部/那霸國際通,33 157 621*52,中文顯示名稱：🍜 暖暮拉麵｜原始名稱：暖暮拉麵 牧志店｜MAPCODE：33 157 621*52｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部/那霸國際通｜台灣旅客常去的豚骨拉麵。營業：平日 11:00–02:00、假日 10:00–02:00。｜原始名稱：暖暮拉麵 牧志店,暖暮拉麵 牧志店,71,沖繩必吃美食,台灣旅客常去的豚骨拉麵。營業：平日 11:00–02:00、假日 10:00–02:00。
🍜 琉家拉麵,"Ryukya Ramen, 1 Chome-6-8 Matsuo, Naha, Okinawa, Japan",美食,拉麵,南部/那霸國際通,,中文顯示名稱：🍜 琉家拉麵｜原始名稱：琉家拉麵 國際通本店｜行程/區域：南部/那霸國際通｜國際通巷內拉麵。營業：週四至週二 11:30–22:30；週三公休。｜原始名稱：琉家拉麵 國際通本店,琉家拉麵 國際通本店,72,沖繩必吃美食,國際通巷內拉麵。營業：週四至週二 11:30–22:30；週三公休。
🍜 Mahoroba拌麵,"Mazemen Mahoroba, Naha, Makishi, 1 Chome−3−34 シティーパル K, Okinawa, Japan",美食,乾拌麵,南部/那霸國際通,,中文顯示名稱：🍜 Mahoroba拌麵｜原始名稱：Mazemen Mahoroba｜行程/區域：南部/那霸國際通｜台灣乾拌麵風格。營業：每日 11:30–21:00。｜原始名稱：Mazemen Mahoroba,Mazemen Mahoroba,73,沖繩必吃美食,台灣乾拌麵風格。營業：每日 11:30–21:00。
🍚 Marutama味噌,"Marutama, Naha, Izumizaki, 2 Chome−4-3, Okinawa, Japan",美食,早餐,南部/那霸,,中文顯示名稱：🍚 Marutama味噌｜原始名稱：Marutama 味噌飯屋｜行程/區域：南部/那霸｜早餐味噌湯定食。營業：週一至週六 07:30–14:30、17:00–20:30；週日公休。｜原始名稱：Marutama 味噌飯屋,Marutama 味噌飯屋,74,沖繩必吃美食,早餐味噌湯定食。營業：週一至週六 07:30–14:30、17:00–20:30；週日公休。
🐟 魚屋食堂,"3 Chome-5-1 Takara, Naha, Okinawa, Japan",美食,海鮮,南部/那霸,,中文顯示名稱：🐟 魚屋食堂｜原始名稱：魚屋直營食堂｜行程/區域：南部/那霸｜平價海鮮丼與定食。營業：每日 11:00–20:00。｜原始名稱：魚屋直營食堂,魚屋直營食堂,75,沖繩必吃美食,平價海鮮丼與定食。營業：每日 11:00–20:00。
🥞 幸福鬆餅,"A Happy Pancake Senagajima Umikaji Terrace, Tomigusuku, Okinawa, Japan",美食,甜點,南部/瀨長島,33 002 602*03,中文顯示名稱：🥞 幸福鬆餅｜原始名稱：幸福鬆餅 瀨長島店｜MAPCODE：33 002 602*03｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部/瀨長島｜舒芙蕾鬆餅與海景。營業：每日 11:00–21:00；建議預約。｜原始名稱：幸福鬆餅 瀨長島店,幸福鬆餅 瀨長島店,76,沖繩必吃美食,舒芙蕾鬆餅與海景。營業：每日 11:00–21:00；建議預約。
☕ 浜邊茶屋,"Hamabe no Chaya, Nanjo, Tamagusuku, Okinawa, Japan",美食,咖啡,南部/玉泉洞知念,232 469 490*71,中文顯示名稱：☕ 浜邊茶屋｜原始名稱：浜邊的茶屋｜MAPCODE：232 469 490*71｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部/玉泉洞知念｜海邊木屋咖啡廳，可搭新原沙灘。營業：平日 10:00–17:00、五六日 08:00–17:00。｜原始名稱：浜邊的茶屋,浜邊的茶屋,77,沖繩必吃美食,海邊木屋咖啡廳，可搭新原沙灘。營業：平日 10:00–17:00、五六日 08:00–17:00。
🍜 屋宜家,"Yagiya, 1172 Oton, Yaese, Shimajiri District, Okinawa, Japan",美食,沖繩麵,南部/玉泉洞知念,232 433 739*74,中文顯示名稱：🍜 屋宜家｜原始名稱：Okinawa Soba & Cafe Yagiya 屋宜家｜MAPCODE：232 433 739*74｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：南部/玉泉洞知念｜紅瓦老宅沖繩麵。營業：週三至週一 11:00–15:15；週二公休。｜原始名稱：Okinawa Soba & Cafe Yagiya 屋宜家,Okinawa Soba & Cafe Yagiya 屋宜家,78,沖繩必吃美食,紅瓦老宅沖繩麵。營業：週三至週一 11:00–15:15；週二公休。
☕ 薑黃花,"Cafe Curcuma, Chinen-1190 Chinen, Nanjo, Okinawa, Japan",美食,海景餐廳,南部/玉泉洞知念,,中文顯示名稱：☕ 薑黃花｜原始名稱：Cafe Curcuma 薑黃花｜行程/區域：南部/玉泉洞知念｜高地海景泰式/南洋料理。營業：平日 10:00–17:00、週末 10:00–18:00；週三公休。｜原始名稱：Cafe Curcuma 薑黃花,Cafe Curcuma 薑黃花,79,沖繩必吃美食,高地海景泰式/南洋料理。營業：平日 10:00–17:00、週末 10:00–18:00；週三公休。
🍰 Houki Boshi,"Houki Boshi, 2 Chome-16-2 Minatogawa, Urasoe, Okinawa, Japan",美食,甜點,中部/港川外人住宅,,中文顯示名稱：🍰 Houki Boshi｜原始名稱：Houki Boshi 可麗露｜行程/區域：中部/港川外人住宅｜沖繩黑糖可麗露。營業：每日 11:30–18:00。｜原始名稱：Houki Boshi 可麗露,Houki Boshi 可麗露,80,沖繩必吃美食,沖繩黑糖可麗露。營業：每日 11:30–18:00。
🍰 oHacorte,"oHacorte Minatogawa, 2 Chome-17-1 Minatogawa, Urasoe, Okinawa, Japan",美食,甜點,中部/港川外人住宅,33 341 002*22,中文顯示名稱：🍰 oHacorte｜原始名稱：oHacorte 港川店｜MAPCODE：33 341 002*22｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部/港川外人住宅｜水果塔與下午茶。營業：每日 11:30–19:00。｜原始名稱：oHacorte 港川店,oHacorte 港川店,81,沖繩必吃美食,水果塔與下午茶。營業：每日 11:30–19:00。
🍜 いしぐふー,"Ishigufu Minatogawa, Urasoe, Minatogawa, 2 Chome−13−6, Okinawa, Japan",美食,沖繩麵,中部/港川外人住宅,33 341 094*27,中文顯示名稱：🍜 いしぐふー｜原始名稱：雞湯拉麵屋 いしぐふー 港川店｜MAPCODE：33 341 094*27｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部/港川外人住宅｜雞湯沖繩麵。營業：週三至週五 10:00–15:00、週末 10:00–16:00。｜原始名稱：雞湯拉麵屋 いしぐふー 港川店,雞湯拉麵屋 いしぐふー 港川店,82,沖繩必吃美食,雞湯沖繩麵。營業：週三至週五 10:00–15:00、週末 10:00–16:00。
🍜 Apollo拉麵,"Ryukyu Ramen Apollo, Okinawa, Urasoe, Minatogawa, 1 Chome−5−11, Japan",美食,拉麵,中部/浦添,,中文顯示名稱：🍜 Apollo拉麵｜原始名稱：Ryukyu Ramen Apollo｜行程/區域：中部/浦添｜推薦口味：琥珀。營業：週五至週一 11:30–14:45；週四公休。｜原始名稱：Ryukyu Ramen Apollo,Ryukyu Ramen Apollo,83,沖繩必吃美食,推薦口味：琥珀。營業：週五至週一 11:30–14:45；週四公休。
🥞 Hanon鬆餅,"Seaside Cafe Hanon, Chatan, Mihama, Okinawa, Japan",美食,鬆餅,中部/美國村,,中文顯示名稱：🥞 Hanon鬆餅｜原始名稱：Seaside Cafe Hanon｜行程/區域：中部/美國村｜美國村海景鬆餅。營業：平日 09:00–17:00、週末 08:30–19:00。｜原始名稱：Seaside Cafe Hanon,Seaside Cafe Hanon,84,沖繩必吃美食,美國村海景鬆餅。營業：平日 09:00–17:00、週末 08:30–19:00。
🌮 Kijimuna塔可飯,"Taco Rice Cafe Kijimuna Depot Island, Chatan, Okinawa, Japan",美食,塔可飯,中部/美國村,33 525 383*28,中文顯示名稱：🌮 Kijimuna塔可飯｜原始名稱：Taco Rice Cafe Kijimuna｜MAPCODE：33 525 383*28｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部/美國村｜推薦：塔可飯、塔可蛋包飯。營業：每日 11:00–22:00。｜原始名稱：Taco Rice Cafe Kijimuna,Taco Rice Cafe Kijimuna,85,沖繩必吃美食,推薦：塔可飯、塔可蛋包飯。營業：每日 11:00–22:00。
🍺 北谷殿內,"Chatan Dunchi, Chatan, Mihama, Okinawa, Japan",美食,居酒屋,中部/美國村,,中文顯示名稱：🍺 北谷殿內｜原始名稱：Chatan Dunchi 居酒屋｜行程/區域：中部/美國村｜靠海居酒屋，可能收座位費。營業：每日 17:00–23:00。｜原始名稱：Chatan Dunchi 居酒屋,Chatan Dunchi 居酒屋,86,沖繩必吃美食,靠海居酒屋，可能收座位費。營業：每日 17:00–23:00。
☕ Calif Kitchen,"The Calif Kitchen Okinawa, Chatan, Mihama, Okinawa, Japan",美食,海景餐廳,中部/美國村,,中文顯示名稱：☕ Calif Kitchen｜原始名稱：The Calif Kitchen Okinawa｜行程/區域：中部/美國村｜美國村海景早餐/甜點/餐廳。營業：每日 08:00–22:00。｜原始名稱：The Calif Kitchen Okinawa,The Calif Kitchen Okinawa,87,沖繩必吃美食,美國村海景早餐/甜點/餐廳。營業：每日 08:00–22:00。
🦐 蒸氣海鮮,"Chatan Steam Seafood, Nakagami District, Chatan, Mihama, 51-2, Okinawa, Japan",美食,海鮮,中部/美國村,33 525 860*30,中文顯示名稱：🦐 蒸氣海鮮｜原始名稱：Chatan Steam Seafood｜MAPCODE：33 525 860*30｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：中部/美國村｜蒸氣海鮮料理。營業：週六至週四 11:00–23:00；週五 11:00–15:00、17:00–23:00。｜原始名稱：Chatan Steam Seafood,Chatan Steam Seafood,88,沖繩必吃美食,蒸氣海鮮料理。營業：週六至週四 11:00–23:00；週五 11:00–15:00、17:00–23:00。
🐟 元祖海葡萄,"元祖 海ぶどう 万座毛店, 沖縄県国頭郡恩納村字恩納2767 万座毛周辺活性化施設 2F",美食,海鮮,北部/恩納村,,"中文顯示名稱：🐟 元祖海葡萄｜原始名稱：元祖海葡萄總店｜MAPCODE：未填（未找到可靠來源，建議用 Google Maps 搜尋名稱/地址，或到現場再用電話/地址導航）。｜Google Maps Search Query：元祖 海ぶどう 万座毛店, 沖縄県国頭郡恩納村字恩納2767 万座毛周辺活性化施設 2F｜行程/區域：北部/恩納村｜已搬至萬座毛遊客中心二樓。營業：平日 11:00–18:00、週末 11:00–15:00。｜原始名稱：元祖海葡萄總店",元祖海葡萄總店,89,沖繩必吃美食,已搬至萬座毛遊客中心二樓。營業：平日 11:00–18:00、週末 11:00–15:00。｜已檢查修正：改成萬座毛周邊活性化施設 2F 的完整店名與地址；MAPCODE 無可靠來源，先留空避免誤導車機。
🥞 Paanilani鬆餅,"Hawaiian Pancakes House Paanilani, 698 Serakaki, Onna, Okinawa, Japan",美食,早餐,北部/恩納村,206 314 567*55,中文顯示名稱：🥞 Paanilani鬆餅｜原始名稱：Hawaiian Pancakes House Paanilani｜MAPCODE：206 314 567*55｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部/恩納村｜恩納村美式鬆餅。營業：每日 07:00–17:00。｜原始名稱：Hawaiian Pancakes House Paanilani,Hawaiian Pancakes House Paanilani,90,沖繩必吃美食,恩納村美式鬆餅。營業：每日 07:00–17:00。
🍱 名護Yukino,"Yukino, 450-8 Miyazato, Nago, Okinawa, Japan",美食,日式定食,北部/名護,,中文顯示名稱：🍱 名護Yukino｜原始名稱：名護 Yukino 日式餐廳｜行程/區域：北部/名護｜日式家庭料理，推薦炸蝦定食。營業：週四至週二 17:00–21:30；週三公休。｜原始名稱：名護 Yukino 日式餐廳,名護 Yukino 日式餐廳,91,沖繩必吃美食,日式家庭料理，推薦炸蝦定食。營業：週四至週二 17:00–21:30；週三公休。
🍖 百年古家大家,"Ufuya, 90 Nakayama, Nago, Okinawa",美食,阿古豬,北部/名護,206 745 056*82,"中文顯示名稱：🍖 百年古家大家｜原始名稱：百年古家 大家｜MAPCODE：206 745 056*82｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜Google Maps Search Query：Ufuya, 90 Nakayama, Nago, Okinawa｜行程/區域：北部/名護｜阿古豬料理景觀餐廳。營業：每日 11:00–15:30、18:00–20:00。｜原始名稱：百年古家 大家",百年古家 大家,92,沖繩必吃美食,阿古豬料理景觀餐廳。營業：每日 11:00–15:30、18:00–20:00。｜已檢查修正：修正名稱空格與 MAPCODE。
🍔 Captain Kangaroo,"Captain Kangaroo, 930-1 Sakimotobu, Motobu, Okinawa",美食,漢堡,北部/本部町,,"中文顯示名稱：🍔 Captain Kangaroo｜原始名稱：Captain Kangaroo Hamburger｜MAPCODE：未填（未找到可靠來源，建議用 Google Maps 搜尋名稱/地址，或到現場再用電話/地址導航）。｜Google Maps Search Query：Captain Kangaroo, 930-1 Sakimotobu, Motobu, Okinawa｜行程/區域：北部/本部町｜人氣美式漢堡。營業：每日 11:00–17:00。｜原始名稱：Captain Kangaroo Hamburger",Captain Kangaroo Hamburger,93,沖繩必吃美食,人氣美式漢堡。營業：每日 11:00–17:00。｜已檢查修正：地址保留並縮成精準店址；MAPCODE 無可靠來源，先留空。
🐟 海邦丸本店,"海人料理 海邦丸, Hanasaki Marche, Motobu, Okinawa",美食,海鮮,北部/本部町,,"中文顯示名稱：🐟 海邦丸本店｜原始名稱：海人料理海邦丸 本店｜MAPCODE：未填（未找到可靠來源，建議用 Google Maps 搜尋名稱/地址，或到現場再用電話/地址導航）。｜Google Maps Search Query：海人料理 海邦丸, Hanasaki Marche, Motobu, Okinawa｜行程/區域：北部/本部町｜海鮮定食/海鮮丼。營業：每日 11:00–15:00、17:30–21:00。｜原始名稱：海人料理海邦丸 本店",海人料理海邦丸 本店,94,沖繩必吃美食,海鮮定食/海鮮丼。營業：每日 11:00–15:00、17:30–21:00。｜已檢查修正：改成 Hanasaki Marche 內的正式店名；MAPCODE 無可靠來源，先留空。
🐟 海邦丸二館,"海人料理 海邦丸 2号店, 沖縄県国頭郡本部町山川1046-2",美食,海鮮,北部/本部町,,"中文顯示名稱：🐟 海邦丸二館｜原始名稱：海人料理海邦丸 二館｜MAPCODE：未填（未找到可靠來源，建議用 Google Maps 搜尋名稱/地址，或到現場再用電話/地址導航）。｜Google Maps Search Query：海人料理 海邦丸 2号店, 沖縄県国頭郡本部町山川1046-2｜行程/區域：北部/本部町｜水族館周邊海鮮餐廳。營業：週五至週二 11:30–15:00、17:30–20:30。｜原始名稱：海人料理海邦丸 二館",海人料理海邦丸 二館,95,沖繩必吃美食,水族館周邊海鮮餐廳。營業：週五至週二 11:30–15:00、17:30–20:30。｜已檢查修正：修正為二館地址：本部町山川1046-2；MAPCODE 無可靠來源，先留空。
🍜 岸本食堂本店,"Kishimoto Shokudo Main Store, Motobu, Okinawa, Japan",美食,沖繩麵,北部/本部町,206 857 712*58,中文顯示名稱：🍜 岸本食堂本店｜原始名稱：岸本食堂 本店｜MAPCODE：206 857 712*58｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部/本部町｜1905 年老店沖繩麵。營業：11:00–17:00；週三公休。｜原始名稱：岸本食堂 本店,岸本食堂 本店,96,沖繩必吃美食,1905 年老店沖繩麵。營業：11:00–17:00；週三公休。
🍜 岸本八重岳,"Kishimoto Shokudo Yaedake, Motobu, Okinawa, Japan",美食,沖繩麵,北部/本部町,206 859 346*30,中文顯示名稱：🍜 岸本八重岳｜原始名稱：岸本食堂 八重岳店｜MAPCODE：206 859 346*30｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部/本部町｜岸本食堂分店。營業：每日 11:00–17:00。｜原始名稱：岸本食堂 八重岳店,岸本食堂 八重岳店,97,沖繩必吃美食,岸本食堂分店。營業：每日 11:00–17:00。
🍤 古宇利蝦飯,"Kouri Shrimp, 314 Kouri, Nakijin, Okinawa, Japan",美食,蝦蝦飯,北部/古宇利島,485 692 203*74,中文顯示名稱：🍤 古宇利蝦飯｜原始名稱：古宇利蝦蝦飯 Kouri Shrimp｜MAPCODE：485 692 203*74｜用途：日本車機導航用；輸入後請用手機 Google Maps 核對位置。｜行程/區域：北部/古宇利島｜古宇利島排隊蝦蝦飯。營業：週三至週一 11:00–18:00；週二公休。｜原始名稱：古宇利蝦蝦飯 Kouri Shrimp,古宇利蝦蝦飯 Kouri Shrimp,98,沖繩必吃美食,古宇利島排隊蝦蝦飯。營業：週三至週一 11:00–18:00；週二公休。
🐟 錦屋,"Shokujidokoro Nishikiya, Kouri, Nakijin, Okinawa, Japan",美食,海膽料理,北部/古宇利島,,中文顯示名稱：🐟 錦屋｜原始名稱：食事処 錦屋｜行程/區域：北部/古宇利島｜古宇利島海膽料理。營業：每日 10:30–20:00。｜原始名稱：食事処 錦屋,食事処 錦屋,99,沖繩必吃美食,古宇利島海膽料理。營業：每日 10:30–20:00。
🍦 Blue Seal牧港,"Blue Seal Makiminato Main Branch, 5-5-6 Makiminato, Urasoe, Okinawa",美食,冰淇淋,全沖繩,,"中文顯示名稱：🍦 Blue Seal牧港｜原始名稱：BLUE SEAL 牧港本店｜MAPCODE：未填（未找到可靠來源，建議用 Google Maps 搜尋名稱/地址，或到現場再用電話/地址導航）。｜Google Maps Search Query：Blue Seal Makiminato Main Branch, 5-5-6 Makiminato, Urasoe, Okinawa｜行程/區域：全沖繩｜全沖繩多分店；建議用 Google Maps 找最近分店。｜原始名稱：BLUE SEAL 牧港本店",BLUE SEAL 牧港本店,100,沖繩必吃美食,全沖繩多分店；建議用 Google Maps 找最近分店。｜已檢查修正：原本只寫品牌名會偏移，改成明確分店：牧港本店。
